Players,Country,Age,Specialism,BattingStyle,BowlingStyle,T20caps,IPL,2021Team,2021IPL,CaUcAs,ReservePrice Rs Lakh,PricePaid,Team
Hiten Dalal,India,27,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Abhimanyu Easwaran,India,26,BATSMAN,RHB,RIGHT ARM Leg Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Laurie Evans,England,34,BATSMAN,RHB,-,0,0,Do No Play,0,Uncapped,40,0,UnSold
Rahul Gahlaut,India,26,BATSMAN,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Amandeep Khare,India,24,BATSMAN,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Mayank Rawat,India,22,BATSMAN,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dhruv Shorey,India,29,BATSMAN,RHB,RIGHT ARM Off Spin,0,2,Do No Play,0,Uncapped,20,0,UnSold
Ayush Badoni,India,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,2000000,LSG
Aneeshwar Gautam,India,19,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,2000000,RCB
Benny Howell,England,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,0,0,Do No Play,0,Uncapped,40,4000000,PK
Hayden Kerr,Australia,25,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Saurabh Kumar,India,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Shams Mulani,India,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0,0,Do No Play,0,Uncapped,20,0,UnSold
Dhruv Patel,India,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Atit Sheth,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0,0,Do No Play,0,Uncapped,20,0,UnSold
Utkarsh Singh,India,23,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0,0,Do No Play,0,Uncapped,20,0,UnSold
